HJ0305XDHTHWPR
CRSMW
10.000000,0,18.695867
7.000000,0.250000,0.300000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2004,1,1,0.41,84.429,3.358,0.0,0.0
2004,1,2,-0.079,83.886,2.954,0.0,0.0
2004,1,3,-0.579,83.271,2.59,0.0,0.0
2004,1,4,-1.069,82.424,2.277,0.0,0.0
2004,1,5,-1.219,81.967,1.789,0.0,0.0
2004,1,6,-1.379,81.548,1.418,0.0,0.0
2004,1,7,-1.529,81.051,1.295,0.0,0.0
2004,1,8,-1.549,81.157,0.417,0.0,0.0
2004,1,9,-1.559,81.203,1.135,0.0,0.0
2004,1,10,-1.579,81.309,2.234,0.0,0.0
2004,1,11,-1.699,83.198,2.312,0.0,0.0
2004,1,12,-1.809,85.053,2.518,0.0,0.0
2004,1,13,-1.929,87.001,2.83,0.0,0.0
2004,1,14,-0.959,82.185,3.134,0.0,0.0
2004,1,15,0.01,77.671,3.434,0.0,104.664
2004,1,16,0.98,73.427,3.733,0.0,242.112
2004,1,17,2.86,71.382,4.354,0.0,333.44
2004,1,18,4.74,68.809,5.135,0.0,404.06
2004,1,19,6.62,65.884,6.015,0.0,386.82
2004,1,20,7.02,67.725,5.766,0.0,342.028
2004,1,21,7.41,69.459,5.518,0.018,268.321
2004,1,22,7.8,71.054,5.27,0.0,140.656
2004,1,23,7.0,74.988,5.604,0.0,34.896
2004,1,24,6.2,79.17,5.96,0.085,0.0
2004,2,1,5.4,83.612,6.334,0.076,0.0
2004,2,2,5.49,86.495,6.45,0.094,0.0
2004,2,3,5.58,89.337,6.776,0.123,0.0
2004,2,4,5.68,92.073,7.289,0.021,0.0
2004,2,5,5.52,93.488,6.728,0.21,0.0
2004,2,6,5.36,94.926,6.175,0.0,0.0
2004,2,7,5.21,96.318,5.639,0.0,0.0
2004,2,8,5.08,96.458,5.427,0.0,0.0
2004,2,9,4.95,96.593,5.309,0.0,0.0
2004,2,10,4.83,96.656,5.286,0.0,0.0
2004,2,11,4.44,96.747,4.89,0.0,0.0
2004,2,12,4.06,96.705,4.483,0.0,0.0
2004,2,13,3.67,96.664,4.087,0.0,0.0
2004,2,14,4.72,95.198,3.888,0.0,0.0
2004,2,15,5.76,93.573,3.779,0.0,99.048
2004,2,16,6.81,91.693,3.75,0.0,242.704
2004,2,17,8.59,90.676,3.968,0.0,334.48
2004,2,18,10.38,88.755,4.28,0.0,405.58
2004,2,19,12.16,86.276,4.655,0.0,336.81
2004,2,20,12.83,86.613,5.252,0.0,298.128
2004,2,21,13.5,86.769,5.843,0.0,234.324
2004,2,22,14.17,86.762,6.444,0.0,119.6
2004,2,23,13.91,89.048,7.042,0.0,30.688
2004,2,24,13.66,91.329,7.74,0.0,0.0
2004,3,1,13.4,93.729,8.533,0.0,0.0
2004,3,2,13.54,93.518,8.512,0.0,0.0
2004,3,3,13.68,93.306,8.564,0.0,0.0
2004,3,4,13.82,93.091,8.704,0.0,0.0
2004,3,5,13.85,93.595,8.592,0.0,0.0
2004,3,6,13.89,94.036,8.69,0.0,0.0
2004,3,7,13.92,94.537,8.964,0.0,0.0
2004,3,8,13.64,95.077,7.73,0.543,0.0
